Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Андрієнко,Августин,Вячеславович,male,1984-06-20,Ветеринар,селище Сулимівка (Слов'янськ),"площа Художника Федорова, буд. 43 кв. 31, Ірпінь, 36660",+380 98 381 56 22,bashpolchenkofedir@example.net
Яремчук,Іван,Миколайович,male,1942-01-01,Модельєр,місто Копичинці,"узвіз Верстатобудівна, буд. 29 кв. 5, Бучач, 25232",071 109 78 81,spasprymachenko@example.net
Терещук,Іван,Дамирович,male,1939-01-14,Головний меркшейдер,селище Докучаєвськ,"узвіз Водопровідна, буд. 8 кв. 804, Ананьїв, 95130",076 166 66 33,varfolomii32@example.net
Малишко,Демид,Миколайович,male,1940-01-05,Петрограф,селище Молочанськ,"набережна Кибальчича, буд. 6, Щастя , 41610",847-80-06,fzhurba@example.org
Бевзенко,Роман,Григорович,male,1997-02-14,Провізор,місто Хрустальний,"вулиця Львівська, буд. 53, Балаклія, 61601",087 378-79-98,symon99@example.org
Яремко,Леопольд,Опанасович,male,1962-07-16,Менеджер,селище Торецьк,"проспект Василя Кандинського, буд. 1 кв. 194, Погребище, 23071",025 498-44-81,udovychenkosolomon@example.com
Скирда,Дан,Петрович,male,1965-09-28,Державний службовець,селище Чоп,"узвіз Бірюкова, буд. 138, Христинівка, 14685",+380 24 476-45-41,heorhiirebryk@example.com
Бабенко,Едуард,Григорович,male,1954-06-16,Астроном,місто Мукачево,"сквер Отрадна, буд. 6 кв. 189, Подільськ, 71556",091 977 12 63,mykhailyna41@example.com
Охріменко,Аврелій,Вікторович,male,1985-07-11,Філолог,хутір Бунге ,"сквер Леонова, буд. 575, Городня, 42272",+380 99 458 83 94,rozaliia56@example.net
Чабан,Тарас,Опанасович,male,1969-11-09,Хімік,хутір Виноградів,"шосе Лінія 33-тя, буд. 781 кв. 78, Каховка, 27868",643-00-58,chalyivarfolomii@example.com
Єрошенко,Хома,Дмитрович,male,1946-07-03,Астрофізик,хутір Роздільна,"шосе Водний, буд. 32 кв. 78, Сулимівка (Слов'янськ), 55139",106 99 18,udovenkoviktoriia@example.org
Масляк,Пилип,Юрійович,male,1994-07-25,Намотувальник,село Березне,"площа Міцкевича, буд. 4 кв. 4, Кальміуське, 47076",+380 (95) 388-67-99,pbaranets@example.org
Алексійчук,Юхим,Васильович,male,1960-02-17,Письменник,село Амвросіївка,"проспект Балтський 7-й, буд. 33 кв. 14, Саки , 90298",+380 (30) 721-99-14,martaivasiuk@example.net
Ванченко,Юхим,Анатолійович,male,1967-06-15,Сценарист,селище Южне,"сквер Івана Франка, буд. 51, Волноваха, 80422",031 895 18 18,havrylokyrylenko@example.com
Ващенко,Альберт,Петрович,male,2004-05-05,Ґрунтознавець,селище Борщів,"парк Ушинського, буд. 4 кв. 556, Помічна, 94938",014 696 41 15,dakhnoavhustyn@example.net
Архипенко,Венедикт,Опанасович,male,1977-04-12,Патологоанатом,селище Хмельницький,"площа Довженка, буд. 441, Новояворівськ, 39313",077 852-54-75,akymenkolevko@example.net
Кармалюк,Ілля,Миколайович,male,2006-12-11,Дерун,село Гуляйполе,"узвіз Садовий, буд. 20, Переяслав, 40469",+380 76 296-84-98,rshvedchenko@example.org
Абрамчук,Олег,Сергійович,male,1999-09-23,Кінолог,селище Щолкіне,"парк Успенська, буд. 73 кв. 81, Дубровиця, 22868",046 773 04 24,rudykiaroslava@example.net
Вернигора,Лукʼян,Юрійович,male,1940-04-03,Архітектор,село Антрацит ,"провулок Головна, буд. 0 кв. 126, Первомайськ, 49887",+380 34 273-13-84,ihor18@example.net
Павлик,Адам,Вікторович,male,1949-11-30,Фотограф,хутір Ізмаїл,"набережна Миколи Плигуна, буд. 7, Свалява, 68523",505-62-98,maksymdanylchuk@example.com
Гайдай,Ілля,Опанасович,male,1997-07-29,Фольклорист,місто Борислав,"узвіз Асташкіна, буд. 3 кв. 600, Стрий, 73376",679 78 98,avhustynaverchenko@example.net
Рудик,Тарас,Миколайович,male,1995-12-14,Промисловець,хутір Тисмениця,"сквер Красносільська, буд. 6 кв. 88, Ужгород, 14156",034 909 73 38,habelkoboleslav@example.com
Аверченко,Гаврило,Опанасович,male,1987-05-12,Золотар,селище Теплодар,"вулиця Миколи Огренича, буд. 0, Червоноград, 97741",305 76 54,leon19@example.org
Абрамчук,Єфрем,Сергійович,male,1973-03-22,Складальник,село Українськ,"парк Дніпропетровська дорога, буд. 62, Канів, 45692",+380 28 430 66 91,anitaabrahamovskyi@example.com
Яценко,Алевтин,Артемович,male,1972-08-02,Водій,місто Баштанка,"площа Лузанівський 2-й, буд. 77 кв. 22, Сорокине, 62336",101 95 50,stefanbaida@example.org
Притула,Пармен,Антонович,male,1978-12-01,Адвокат,село Гребінка,"площа Пересипська 2-га, буд. 133, Бахмут, 06959",+380 88 741 82 05,valentynahohol-ianovska@example.org
Александренко,Петро,Дамирович,male,1943-11-29,Краєзнавець,місто Красноград,"узвіз Вертелецького, буд. 067, Щастя , 25439",023 645-60-52,ielysei38@example.org
Корбут,Гордій,Анатолійович,male,1971-03-03,Музикознавець,селище Святогірськ,"вулиця Стєклова, буд. 08 кв. 129, Лиман , 11073",188 34 62,valentynhavrysh@example.net
Голик,Веніямин,Сергійович,male,1964-10-21,Бухгалтер,місто Жашків,"проспект Кримська, буд. 41, Камінь-Каширський, 57676",044 809 34 35,liliiatelychenko@example.net
Бандура,Соломон,Миколайович,male,1993-08-27,Фотограф,село Білгород-Дністровський,"набережна Басейна, буд. 834, Борщів, 26638",+380 (50) 913-15-90,varfolomiikovaliuk@example.com
Годунок,Спас,Сергійович,male,1939-09-25,Фотограф,хутір Вашківці,"набережна Пассіонарії, буд. 31, Бершадь, 79892",+380 18 997-15-41,orobetsorysia@example.net
Дашенко,Стефан,Вікторович,male,1985-01-07,Вчитель,селище Білицьке,"парк Калнишевського Петра, буд. 1, Феодосія, 92957",730-75-74,jshmorhun@example.com
Івасюк,Адам,Олександрович,male,1949-10-14,Гірник,хутір Бердянськ,"набережна Теліги Олени, буд. 712 кв. 10, Бровари, 69716",037 147-08-55,hlibfesenko@example.com
Цимбал,Святослав,Сергійович,male,1980-08-28,Детектив,селище Рогатин,"узвіз Академіка Вільямса, буд. 587, Олешки, 49232",039 399-75-64,zatovkaniukpanas@example.org
Бандура,Максим,Федорович,male,1978-03-04,Перекладач,хутір Карлівка,"набережна 8-ма Лінія Дачі Ковалевського, буд. 5, Лутугине, 17543",+380 22 771-92-88,chumakspas@example.org
Ніколюк,Азар,Опанасович,male,1963-12-09,Астронавт,селище Дубно,"узвіз Богдана Хмельницького, буд. 20 кв. 9, Звенигородка, 16288",+380 (94) 798-49-10,azasenko@example.net
Червоненко,Соломон,Артемович,male,1962-04-30,Слідчий,місто Прип'ять ,"парк Штурвальна, буд. 75, Яворів, 67416",+380 65 566-40-83,ustenkovolodymyra@example.com
Карась,Ярема,Петрович,male,1994-08-17,М'ясник,місто Лохвиця,"провулок Тролейбусна, буд. 46 кв. 287, Мерефа, 36797",002 751 43 84,ibezditko@example.org
Вовк,Данило,Опанасович,male,1957-03-10,Каскадер,місто Жданівка,"парк ПшеничнаРадищева, буд. 97, Білгород-Дністровський, 30825",+380 40 170-84-28,lshvedchenko@example.org
Абраменко,Азар,Вячеславович,male,1957-08-12,Фольклорист,село Мирноград,"проспект Український 1-й, буд. 1 кв. 984, Городенка, 15552",+380 (94) 778-54-31,uchalenko@example.com
Давимука,Охрім,Григорович,male,1940-01-30,Електромонтер,село Заводське,"провулок Пiвденний, буд. 186 кв. 1, Підгайці, 43912",069 053-79-48,andriiovychalina@example.org
Батюк,Сергій,Опанасович,male,1975-03-07,Біолог,селище Покров,"вулиця Шовкуненка, буд. 153 кв. 233, Устилуг, 49698",020 866 86 64,mlupii@example.org
Гаврилюк,Феофан,Григорович,male,1991-10-06,Фермер,хутір Володимир-Волинський,"провулок Перепечка, буд. 812, Кагарлик, 42999",+380 22 261 75 38,zynovii76@example.org
Базилевич,Ігор,Федорович,male,1976-01-27,Секретар,місто Красногорівка,"проспект Бабеля, буд. 6 кв. 1, Сєвєродонецьк, 68216",+380 64 474-18-59,trokhym51@example.net
Демʼянюк,Ярема,Дамирович,male,1984-08-03,Актор,місто Севастополь,"набережна Деревообробна, буд. 75, Болград, 02322",+380 (28) 842-48-31,bfareniuk@example.com
Давиденко,Борис,Дамирович,male,1971-05-19,Золотар,хутір Виноградів,"набережна Перемоги, буд. 56, Тлумач, 82476",+380 (23) 135-25-60,varvarazharko@example.com
Фастенко,Георгій,Петрович,male,1973-09-08,Пілот,місто Іллінці,"провулок Контрадмірала Луніна, буд. 52, Іллінці, 36302",068 691-99-09,pavlychenkopanteleimon@example.net
Матяш,Максим,Семенович,male,1947-11-21,Науковець,селище Бориспіль,"сквер Колективний, буд. 653, Тернопіль, 61161",+380 01 532 04 39,bbaran@example.org
Дашенко,Вʼячеслав,Опанасович,male,1945-12-03,Бізнесмен,селище Богодухів,"парк Підйомний, буд. 238, Бучач, 94217",071 529 27 92,bohuslava66@example.com
Петлюра,Гліб,Антонович,male,1973-04-21,Мікробіолог,місто Старий Самбір,"провулок Виноградна 2-га, буд. 598 кв. 247, Білгород-Дністровський, 72713",+380 (87) 557-05-68,varvarabandera@example.net
Атаманчук,Захар,Андрійович,male,1942-07-01,Мовознавець,селище Рахів,"узвіз Розумовський 2-й, буд. 455, Бобринець, 59488",+380 75 609-13-24,drozdenkoodarka@example.net
Каденюк,Федір,Вячеславович,male,1950-03-20,Стропальник,місто Кам'янець-Подільський,"сквер Селищна, буд. 9 кв. 7, Ворожба, 58210",085 366-51-64,trokhymabramenko@example.net
Вернигора,Олекса,Дмитрович,male,1956-10-07,Педагог,хутір Ізюм,"вулиця Виставочна, буд. 1 кв. 3, Борзна, 65102",333 70 81,fedirprykhodko@example.com
Тичина,Мартин,Іванович,male,1967-07-26,Штукатур,селище Лохвиця,"набережна Партизанської Слави, буд. 9 кв. 07, Тисмениця, 71449",+380 11 728 55 45,ielysei49@example.org
Рудик,Теодор,Миколайович,male,1980-10-24,Ґрунтознавець,село Скадовськ,"набережна Дунаєва, буд. 661 кв. 2, Балта, 86933",+380 30 805 65 20,telizhenkomarta@example.net
Ткаченко,Тимофій,Юрійович,male,1941-11-19,Кухар,хутір Кіцмань,"набережна Казковий, буд. 308, Жмеринка, 34830",+380 60 542-84-70,dashenkoleontii@example.org
Рева,Макар,Дмитрович,male,1940-10-14,Флорист,місто Жовті Води,"провулок Палубна, буд. 76, Люботин, 78959",+380 22 852-91-85,alubenets@example.net
Алексійчук,Климент,Федорович,male,1991-11-12,Золотар,селище Первомайський ,"площа Ковалевського узвіз, буд. 453 кв. 959, Борщів, 60867",604 78 51,svystunsolomon@example.com
Гунько,Василь,Вікторович,male,1984-12-16,Фольклорист,місто Горішні Плавні,"вулиця Удільний, буд. 923, Гірське, 44425",+380 02 137-22-51,dzabila@example.org
Козак,Геннадій,Вячеславович,male,1980-04-18,Прокурор,селище Бібрка,"шосе Ботанічний, буд. 29 кв. 68, Харків, 73586",+380 72 267-46-20,odarkavlokh@example.net
Бабко,Пантелеймон,Олександрович,male,1940-03-08,Намотувальник,село Коростень,"площа Херсонський сквер, буд. 11, Яремче, 24689",078 883-90-47,vitaliihavriushenko@example.net
Вернидуб,Феофан,Опанасович,male,1954-05-14,Співак,село Винники,"сквер Академіка Панкратової, буд. 8 кв. 97, Кам'янка-Дніпровська, 91086",855-53-81,ivanychukhanna@example.com
Гузенко,Марко,Артемович,male,1969-01-21,Менеджер,селище Берестечко,"проспект Матеріальний 1-й, буд. 8 кв. 20, Нова Каховка, 67473",+380 96 856-86-55,ievaokhrimenko@example.com
Деревʼянко,Валерій,Анатолійович,male,1998-10-22,Реабілітолог,селище Молодогвардійськ,"площа Касима Юрія, буд. 3 кв. 055, Заліщики, 67490",+380 84 830-22-85,mykhailolahoda@example.org
Вітрук,Симон,Вікторович,male,1949-04-21,Промисловець,хутір Нова Каховка,"шосе Проїзний 2-й, буд. 988, Новояворівськ, 68537",350-25-92,volodymyravanchenko@example.org
Василечко,Валерій,Юрійович,male,1999-04-05,Конструктор,місто Сімферополь,"вулиця Отрада, буд. 4 кв. 23, Косів, 19657",358-19-32,martyn19@example.com
Бандурка,Леон,Васильович,male,1955-01-21,Секретар,селище Лутугине,"узвіз Садова, буд. 735 кв. 485, Устилуг, 73010",058 923-66-62,myron70@example.org
Чуйко,Георгій,Вячеславович,male,1940-04-09,Конструктор,місто Ківерці,"сквер 11-та Суворовська, буд. 98, Курахове, 87339",+380 (40) 767-28-11,frantskomar@example.net
Андрійович,Володимир,Дамирович,male,1964-12-27,Інженер,місто Батурин,"парк Весняна, буд. 439, Ромни, 60392",141-25-34,oandreiko@example.net
Короленко,Мартин,Васильович,male,1990-01-16,Стропальник,селище Карлівка,"узвіз Газовий, буд. 343 кв. 6, Виноградів, 09507",055 009-41-87,zdemianenko@example.com
Даньків,Веніямин,Іванович,male,1984-09-08,Локсмайстер,селище Білозерське,"провулок Джутовий, буд. 452, Українськ, 92102",048 238 75 07,iustym35@example.net
Годунок,Олекса,Петрович,male,1955-06-09,Науковець,селище Снігурівка,"узвіз Студентський 2-й, буд. 5 кв. 8, Буринь, 49821",+380 62 979 81 59,demydenkobohuslav@example.net
Масляк,Нестор,Васильович,male,2003-11-10,Соціолог,село Чернівці,"набережна Восьмого Березня Лінія 5-та, буд. 67, Гуляйполе, 68863",934 36 23,makarzatovkaniuk@example.com
Ейбоженко,Назар,Анатолійович,male,1964-07-10,Доцент,хутір Білозерське,"провулок Вознесенський, буд. 838, Білогірськ, 80737",+380 29 435 71 09,amaliia86@example.com
Яценко,Миколай,Миколайович,male,1974-12-30,Гірничий інженер,місто Ізюм,"сквер Лесі Українки, буд. 8, Антрацит , 54702",659-29-87,osirobaba@example.com
Олійник,Демʼян,Андрійович,male,1956-10-08,Педагог,селище Збараж,"вулиця Сурикова 2-й, буд. 647 кв. 74, Пологи , 14354",+380 73 040 45 33,petropustovit@example.net
Ісаєвич,Данило,Анатолійович,male,1964-09-03,Економіст,село Глобине,"парк Парусна, буд. 52, Заводське, 57996",+380 (10) 343-53-60,ustenkopavlo@example.org
Супруненко,Климент,Васильович,male,2007-05-10,Соціолог,село Чорнобиль,"набережна Магнітогорський 3-й, буд. 3 кв. 1, Нетішин, 76364",+380 69 744-48-11,jirvanets@example.org
Чміль,Нестор,Миколайович,male,1985-12-02,Географ,хутір Ланівці,"набережна 4-та Лінія Марії Демченко, буд. 2, Радомишль, 96051",+380 26 644 99 26,kbandura@example.com
Швачко,Мирон,Вячеславович,male,1951-11-26,Мовознавець,село Чернігів,"парк Юннатів, буд. 9 кв. 9, Тячів, 29544",012 838-99-11,hannavertyporokh@example.net
Данько,Марко,Андрійович,male,1961-02-19,Палеонтолог,хутір Острог,"площа Степана Олійника узвіз, буд. 67, Сніжне, 84452",092 18 45,viktordemianiuk@example.org
Онищенко,Юстим,Опанасович,male,1965-08-12,Хімік,хутір Новомиргород,"набережна Березовий, буд. 5 кв. 90, Старий Самбір, 21335",666-19-05,veresvalerii@example.org
Верес,Зорян,Миколайович,male,1975-07-06,Електрик,хутір Кіцмань,"сквер Слобідська, буд. 11 кв. 4, Ялта, 73709",239-75-78,orkhypbairak@example.org
Чекалюк,Тарас,Остапович,male,2004-02-19,Шериф,селище Гнівань,"вулиця Псковський, буд. 27 кв. 446, Благовіщенське, 44923",+380 (21) 290-91-08,ielyseifilipenko@example.net
Чередник,Данило,Сергійович,male,1939-06-14,Живописець,місто Путивль,"набережна Сортувальна 2-га, буд. 99 кв. 7, Фастів, 55580",467 33 61,maksymshyian@example.org
Шиян,Зиновій,Артемович,male,2000-04-21,Етнограф,село Вуглегірськ,"провулок Флотський 1-й, буд. 534, Пирятин, 67961",+380 (64) 241-63-17,iaroslav38@example.org
Барабаш,Аврелій,Іванович,male,1948-11-29,Реставратор,хутір Докучаєвськ,"вулиця Аеродромний 1-й, буд. 20, Миронівка, 50363",034 864-76-26,ostapkaras@example.net
Верменич,Франц,Семенович,male,1979-10-29,Астронавт,селище Верхньодніпровськ,"набережна Ковиловий, буд. 772 кв. 21, Білицьке, 33917",036 065 60 82,albina08@example.org
Габелко,Франц,Сергійович,male,1956-01-22,Палеонтолог,місто Устилуг,"узвіз Братська, буд. 304 кв. 3, Рогатин, 01387",037 69 72,hiakymenko@example.com
Гречко,Тимофій,Григорович,male,1990-11-22,Публіцист,село Дергачі,"сквер Георгія Гамова, буд. 56, Шепетівка, 23665",039 988-99-15,ivanivanchenko@example.com
Бакуменко,Ігнат,Іванович,male,2001-10-25,Композитор,місто Червоноград,"площа Шевченка парк, буд. 4, Бобринець, 88392",052 695-60-67,xdurdynets@example.com
Теліженко,Володимир,Семенович,male,1969-11-25,Прокурор,хутір Кам'янець-Подільський,"проспект Вапняний 1-й, буд. 070, Антрацит , 01791",+380 56 005-09-24,arsen68@example.net
Лупій,Мартин,Артемович,male,1990-11-24,Кухар,хутір Вижниця,"набережна Басейний 2-й, буд. 9, Інкерман, 31351",020 736 45 07,qtereshchuk@example.net
Кальченко,Августин,Григорович,male,2004-03-13,Намотувальник,хутір Гуляйполе,"узвіз Палія Семена, буд. 4 кв. 2, Хмельницький, 85586",+380 91 937-42-10,wvitruk@example.net
Конопля,Мартин,Дмитрович,male,1967-06-23,Економіст,хутір Дубляни,"проспект Лінія 25-та, буд. 393 кв. 485, Олешки, 83901",+380 (30) 864-34-42,jkolesnychenko@example.org
Рева,Гордій,Опанасович,male,1995-11-28,Архітектор,селище Родинське,"провулок Нафтовиків 1-й, буд. 6 кв. 487, Херсон, 27839",046-84-04,halyna16@example.org
Щорс,Спас,Андрійович,male,1944-04-07,Піаніст,село Дніпро ,"площа Василя Кандинського 4-й, буд. 64 кв. 267, Глухів, 23008",+380 89 689-43-67,hordii01@example.com
Шевченко,Стефан,Миколайович,male,1975-07-18,Графік,хутір Енергодар,"узвіз Проектна 1-ша, буд. 72, Жовті Води, 60617",054 710 13 27,dannaalekseienko@example.com
Андрійчук,Устим,Іванович,male,1963-07-28,Реабілітолог,хутір Рівне,"узвіз Розумовський 1-й, буд. 125 кв. 18, Маріуполь, 88528",+380 54 230-16-98,zoriankomar@example.net
Бабійчук,Аврелій,Артемович,male,2005-02-18,Медик,місто Вільнянськ,"набережна Романа Кармена, буд. 9, Олександрівськ, 52356",790-68-24,shvachkovladyslav@example.net
Вдовенко,Семен,Вячеславович,male,1983-06-14,Паралегал,хутір Знам'янка,"сквер Радіо, буд. 883 кв. 06, Миронівка, 23996",+380 25 455-74-95,prudyk@example.org
Їжакевич,Дмитро,Анатолійович,male,1959-09-10,Юрист,селище Кодима,"площа Зої Космодем’янської, буд. 240 кв. 6, Богуслав, 43461",003 939 49 59,labakhoma@example.org
Чуйко,Варфоломій,Антонович,male,1964-11-19,Бізнесмен,хутір Корець,"сквер Некрасова, буд. 98, Ізяслав, 59693",440-18-15,parmeniaremkiv@example.com
Ковалюк,Йосип,Дмитрович,male,1997-07-14,Перекладач,селище Ічня,"шосе Перемоги, буд. 777 кв. 002, Рава-Руська, 25373",+380 92 466 61 42,kverkhola@example.net
Лемешко,Варфоломій,Федорович,male,1969-06-28,Біолог,місто Нова Одеса,"вулиця Лінія 39-та, буд. 223, Ірміно, 09047",+380 09 375-97-99,wiurchyshyn@example.net
Даньків,Борислав,Петрович,male,1945-07-08,Публіцист,селище Рожище,"набережна Радісна, буд. 285 кв. 82, Новгород-Сіверський, 32607",245-86-77,rshcherbak@example.net
Єременко,Дмитро,Антонович,male,1998-12-26,Лікар,місто Городенка,"парк Мала Арнаутська, буд. 83, Новогродівка, 15111",313-87-19,zynoviichumachenko@example.com
Івасюк,Євген,Анатолійович,male,2001-12-01,Детектив,місто Красногорівка,"парк Центральний аеропорт, буд. 45, Кам'янка-Дніпровська, 55229",094 910 30 05,lukian13@example.com
Дашенко,Георгій,Артемович,male,2005-03-06,Круп'є,місто Здолбунів,"набережна 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 66 кв. 665, Покровськ, 21074",+380 48 938-10-74,panteleimon80@example.org
Худобʼяк,Пармен,Миколайович,male,1946-04-02,Намотувальник,селище Решетилівка,"шосе Отрадна, буд. 89 кв. 558, Бердичів, 38020",+380 (64) 775-93-79,okhrimenkoarkadii@example.net
Дашкевич,Устим,Олександрович,male,1964-10-09,Ґрунтознавець,селище Ананьїв,"сквер Західний 2-й, буд. 3 кв. 46, Новояворівськ, 36169",201-64-56,vashchenko-zakharchenkoarsen@example.net
Семенченко,Амвросій,Андрійович,male,2002-02-13,Машиніст,село Тисмениця,"шосе Слєпньова, буд. 88, Сулимівка (Слов'янськ), 05921",612-90-48,vitalii03@example.org
Давимука,Антон,Андрійович,male,1957-12-24,Графік,місто Апостолове,"площа Скляний 3-й, буд. 309, Кременець, 51149",+380 24 381-63-61,danchukleon@example.net
Туркало,Яків,Васильович,male,1985-04-23,Маркетолог,місто Армянськ,"проспект Депутатський, буд. 85 кв. 1, Севастополь, 54485",096 315 71 98,adam86@example.org
Сірченко,Віталій,Сергійович,male,1978-05-24,Модельєр,місто Ківерці,"площа Нова, буд. 2, Мена , 17560",070 429 61 16,babenkoheorhii@example.org
Ящук,Геннадій,Семенович,male,1972-01-19,Медик,село Інкерман,"узвіз 12-та ст. Великого Фонтану пляж, буд. 922 кв. 3, Скадовськ, 39685",+380 (51) 428-47-27,chubaiostap@example.net
Гоголь,Єлисей,Сергійович,male,1955-06-20,Фрілансер,місто Барвінкове,"набережна Сєрогодського, буд. 70, Олександрівськ, 51913",+380 70 774 93 00,oleksahohol-ianovska@example.com
Жученко,Омелян,Дмитрович,male,1967-06-08,Паблік рилейшнз,селище Авдіївка,"вулиця Черепанових 2-й, буд. 26 кв. 7, Новояворівськ, 06185",388-40-72,mlysenko@example.com
Саєнко,Ілля,Петрович,male,1946-04-30,Візажист,селище Бібрка,"набережна Салтикова-Щедріна, буд. 18 кв. 6, Лиман , 13442",+380 (41) 768-12-59,zlatoslava84@example.org
Хомик,Йосип,Федорович,male,2005-05-20,Круп'є,селище Шпола,"площа Сухолиманна, буд. 414 кв. 965, Пологи , 71818",+380 49 949 59 16,priska15@example.net
Корж,Яків,Артемович,male,1997-05-28,Адвокат,хутір Кам'янка (Черкаська область),"вулиця Путьова, буд. 2 кв. 3, Олешки, 62392",055 737-96-36,valenkoroman@example.com
Яценюк,Захар,Андрійович,male,1953-04-09,Ветеринар,хутір Галич,"площа Санітарна, буд. 33, Ніжин, 10838",+380 (02) 240-85-91,feofan09@example.org
Гайда,Аарон,Анатолійович,male,2005-05-18,Локсмайстер,хутір Каховка,"сквер Гагарінське плато, буд. 96 кв. 33, Кропивницький, 23728",+380 05 671-75-81,erika37@example.net
Бабич,Олекса,Сергійович,male,1991-06-14,Вчитель,село Кам'янка-Бузька,"набережна Надіїі, буд. 1 кв. 252, Ямпіль, 26034",073 319-36-11,iaroslava18@example.org
Абрагамовський,Аркадій,Іванович,male,1951-02-02,Ді-джей,село Бершадь,"вулиця Верещагіна, буд. 18 кв. 635, Хорол , 84251",+380 (42) 480-87-55,tsiutsiuraveniiamyn@example.com
Зінкевич,Григорій,Сергійович,male,1949-12-13,Нотаріус,село Теребовля,"шосе 8-ма Суворовська, буд. 16, Вовчанськ, 27504",037 431-83-77,hutsuliakliliia@example.net
Талан,Охрім,Вікторович,male,1955-01-23,Графік,селище Суми,"вулиця 12-та Суворовська, буд. 21, Перечин, 10361",011 378-07-81,amaliiachmil@example.net
Артимович,Едуард,Анатолійович,male,1978-08-30,Історик,село Новояворівськ,"сквер Шишкіна, буд. 09, Ромни, 57926",033 836-69-05,mgoliash@example.org
Гуцуляк,Едуард,Сергійович,male,1969-07-14,Інженер,хутір Вільногірськ,"набережна 19-та Лінія, буд. 04 кв. 607, Родинське, 40256",652-01-81,marynababenko@example.com
Колісниченко,Давид,Миколайович,male,1942-09-02,Бізнесмен,село Чорноморськ,"площа Восьмого березня 2-й, буд. 36 кв. 97, Світлодарськ, 71307",+380 42 975 78 57,rarkhypenko@example.com
Гузенко,Валентин,Юрійович,male,1983-11-10,Режисер,селище Коростень,"провулок Навігаційний, буд. 9, Батурин, 05653",+380 01 003-93-77,iukhymenkoparmen@example.net
Артимович,Охрім,Андрійович,male,1983-09-09,Каскадер,хутір Конотоп,"провулок Верещагіна, буд. 17 кв. 17, Чуднів, 77624",022 823 81 21,okseniiareva@example.com
Ґоляш,Давид,Вячеславович,male,1978-10-01,Мовознавець,село Верхівцеве,"проспект Монастирський, буд. 3, Краматорськ, 84251",+380 10 086-31-51,riakymenko@example.com
Бабариченко,Леонід,Сергійович,male,1946-01-28,Випробувач,місто Рогатин,"парк Морський 2-й, буд. 2, Тисмениця, 56542",+380 50 978-85-24,ierchenkoviktor@example.net
Валенко,Андрій,Андрійович,male,1960-07-31,Підприємець,село Бібрка,"парк Соляний 7-й, буд. 631, Оріхів, 66319",157 79 99,anita48@example.com
Шило,Зорян,Дамирович,male,1974-03-16,Географ,місто Любомль,"шосе Вокзальна, буд. 9 кв. 03, Новодністровськ, 80325",+380 (16) 329-79-82,osmyk@example.net
Романчук,Адам,Дамирович,male,2000-10-05,Водій,хутір Хотин,"парк Іспанська, буд. 4, Стебник, 43316",+380 76 555 47 47,symon00@example.net
Щербань,Яків,Семенович,male,2006-08-23,Модельєр,хутір Курахове,"сквер Житомирський 3-й, буд. 97, Бобринець, 88207",+380 (77) 143-56-47,iakovenkoavhustyn@example.net
Токар,Олег,Вікторович,male,1961-08-23,Кушнір,селище Гнівань,"сквер Лузанівський 1-й, буд. 593, Городище , 71892",+380 (62) 215-85-92,eduardverkhola@example.com
Вакуленко,Нестор,Антонович,male,1993-02-04,Режисер,хутір Олешки,"парк Чорноморський, буд. 9 кв. 3, Яремче, 78817",048 751-09-99,semen37@example.org
Закусило,Веніямин,Остапович,male,1974-09-15,Льотчик,селище Оріхів,"площа Стєклова, буд. 447 кв. 88, Тисмениця, 92541",+380 34 929 27 51,marianatarasenko@example.com
Башполченко,Прохір,Григорович,male,1951-03-07,Скульптор,село Гребінка,"провулок Авіаторів, буд. 6, Нікополь, 56720",178 67 37,zkolesnychenko@example.com
Щербак,Дмитро,Васильович,male,1944-10-01,Програміст,село Богодухів,"вулиця Верещагіна, буд. 1, Федорівка, 41218",+380 53 550 68 17,vasylynadakhno@example.net
Дзиндра,Омелян,Дамирович,male,1986-07-22,Біолог,селище Ровеньки,"узвіз Радісна, буд. 879, Іршава, 15546",+380 31 760 97 34,zakhardrobiazko@example.net
Джус,Дан,Артемович,male,1998-01-16,Водій,село Яремче,"площа Кісельова Ігоря, буд. 670 кв. 2, Старокостянтинів, 47952",+380 43 918-86-50,mariiakhrystenko@example.net
Червоненко,Герман,Сергійович,male,1978-07-14,Електрик,місто Дубно,"узвіз Сергія Ейзенштейна, буд. 2, Біляївка, 48501",728-67-45,albertzinchuk@example.net
Даньків,Михайло,Дмитрович,male,1969-06-30,Клоун,місто Дружківка,"проспект Магнітогорська, буд. 67, Вилкове, 08737",084 521 29 48,shtepaivan@example.net
Голик,Орест,Андрійович,male,1984-02-29,Фрілансер,село Миргород,"парк Юрженка Олександра, буд. 628 кв. 62, Володимир-Волинський, 13636",582-03-86,larysahaidai@example.net
Їжакевич,Богуслав,Іванович,male,1961-04-10,Золотар,село Дрогобич,"сквер Літакова, буд. 881 кв. 244, Запоріжжя, 80910",032 521 49 25,dan29@example.net
Затула,Едуард,Остапович,male,1958-01-18,Редактор,село Сокиряни,"шосе Лінія 37-ма, буд. 7, Міусинськ, 09274",008 754 83 71,drozdvolodymyr@example.com
